,MODELYEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS
61,2014,AUDI,S7,MID-SIZE,4.0,8.0,A7,Z,14.2,9.7,12.2,23,281.0
62,2014,AUDI,S8,MID-SIZE,4.0,8.0,AS8,Z,15.4,9.8,12.9,22,297.0
63,2014,AUDI,SQ5,SUV - SMALL,3.0,6.0,AS8,,14.9,10.1,12.7,22,292.0
64,2014,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4.0,A6,Z,10.4,7.6,9.1,31,209.0
65,2014,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4.0,A6,Z,10.4,7.6,9.1,31,209.0
66,2014,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4.0,A6,Z,11.5,8.8,10.3,27,
67,2014,AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,4.0,A6,Z,11.5,8.8,10.3,27,237.0
68,2014,BENTLEY,CONTINENTAL GT,SUBCOMPACT,4.0,8.0,AS8,,15.4,9.8,12.9,22,297.0
69,2014,BENTLEY,CONTINENTAL GT,SUBCOMPACT,6.0,12.0,AS8,Z,18.8,11.5,15.5,18,356.0
70,2014,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,4.0,8.0,AS8,Z,16.8,10.3,13.9,20,320.0
71,2014,BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6.0,12.0,AS8,Z,20.0,12.2,16.5,17,380.0
72,2014,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4.0,8.0,AS8,Z,16.7,10.6,14.0,20,322.0
73,2014,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6.0,12.0,AS8,Z,20.0,12.2,16.5,17,380.0
74,2014,BENTLEY,FLYING SPUR,MID-SIZE,6.0,12.0,AS8,Z,20.0,12.2,16.5,17,380.0
75,2014,BENTLEY,MULSANNE,MID-SIZE,6.8,8.0,AS8,Z,22.3,14.9,19.0,15,437.0
76,2014,BMW,320i,COMPACT,2.0,4.0,A8,Z,10.0,6.5,8.4,34,193.0
77,2014,BMW,320i,COMPACT,2.0,4.0,M6,Z,10.4,6.7,8.7,32,200.0
78,2014,BMW,320i xDRIVE,COMPACT,2.0,4.0,A8,Z,10.2,7.0,8.8,32,202.0
79,2014,BMW,328d xDRIVE,COMPACT,2.0,4.0,A8,D,7.6,5.5,6.7,42,181.0
80,2014,BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4.0,A8,D,7.6,5.5,6.7,42,181.0
81,2014,BMW,328i,COMPACT,2.0,4.0,A8,Z,10.0,6.5,8.4,34,193.0
82,2014,BMW,328i,COMPACT,2.0,4.0,M6,Z,10.4,6.7,8.7,32,200.0
83,2014,BMW,328i xDRIVE,COMPACT,2.0,4.0,A8,Z,10.6,7.2,9.1,31,209.0
84,2014,BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4.0,A8,Z,10.6,7.2,9.1,31,209.0
85,2014,BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4.0,A8,Z,10.6,7.2,9.1,31,209.0
86,2014,BMW,335i,COMPACT,3.0,6.0,A8,Z,11.4,7.3,9.6,29,221.0
87,2014,BMW,335i,COMPACT,3.0,6.0,M6,Z,11.8,7.9,10.0,28,230.0
88,2014,BMW,335i xDRIVE,COMPACT,3.0,6.0,A8,Z,11.7,7.8,9.9,29,228.0
89,2014,BMW,335i xDRIVE,COMPACT,3.0,6.0,M6,Z,11.9,8.3,10.3,27,237.0
90,2014,BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6.0,A8,Z,11.9,8.0,10.1,28,232.0
91,2014,BMW,428i COUPE,COMPACT,2.0,4.0,A8,Z,10.0,6.5,8.4,34,193.0
92,2014,BMW,428i COUPE,COMPACT,2.0,4.0,M6,Z,10.4,6.7,8.7,32,
93,2014,BMW,428i xDRIVE COUPE,COMPACT,2.0,4.0,A8,Z,10.6,7.2,9.1,31,209.0
94,2014,BMW,435i COUPE,COMPACT,3.0,6.0,A8,Z,11.4,7.3,9.6,29,221.0
95,2014,BMW,435i COUPE,COMPACT,3.0,6.0,M6,Z,11.8,7.9,10.0,28,230.0
96,2014,BMW,435i xDRIVE COUPE,COMPACT,3.0,6.0,A8,Z,11.7,7.8,9.9,29,228.0
97,2014,BMW,435i xDRIVE COUPE,COMPACT,3.0,6.0,M6,Z,11.9,8.3,10.3,27,237.0
98,2014,BMW,528i,MID-SIZE,2.0,4.0,A8,Z,10.2,7.0,8.8,32,202.0
99,2014,BMW,528i xDRIVE,MID-SIZE,2.0,4.0,A8,Z,10.6,7.2,9.1,31,209.0
100,2014,BMW,535d xDRIVE,MID-SIZE,3.0,6.0,A8,D,9.2,6.4,7.9,36,213.0
101,2014,BMW,535i xDRIVE,MID-SIZE,3.0,6.0,A8,Z,11.9,8.0,10.1,28,
102,2014,BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6.0,A8,Z,12.5,8.6,10.7,26,246.0
103,2014,BMW,550i xDRIVE,MID-SIZE,4.4,8.0,A8,Z,14.4,9.6,12.2,23,281.0
104,2014,BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8.0,A8,Z,15.0,9.8,12.7,22,292.0
105,2014,BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6.0,A8,Z,11.9,8.0,10.1,28,232.0
106,2014,BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8.0,A8,Z,15.0,9.8,12.7,22,292.0
107,2014,BMW,650i xDRIVE COUPE,COMPACT,4.4,8.0,A8,Z,14.4,9.6,12.2,23,281.0
108,2014,BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8.0,A8,Z,15.0,9.8,12.7,22,292.0
109,2014,BMW,740Li xDRIVE,FULL-SIZE,3.0,6.0,A8,Z,12.5,8.6,10.7,26,246.0
110,2014,BMW,750i xDRIVE,FULL-SIZE,4.4,8.0,A8,Z,15.0,9.8,12.7,22,292.0
111,2014,BMW,750Li xDRIVE,FULL-SIZE,4.4,8.0,A8,Z,15.0,9.8,12.7,22,292.0
112,2014,BMW,760Li,FULL-SIZE,6.0,12.0,A8,Z,18.7,11.5,15.5,18,356.0
113,2014,BMW,ACTIVEHYBRID 3,COMPACT,3.0,6.0,A8,Z,9.2,7.1,8.3,34,191.0
114,2014,BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6.0,A8,Z,10.5,7.9,9.3,30,214.0
115,2014,BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6.0,A8,Z,10.5,7.6,9.2,31,212.0
116,2014,BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8.0,A8,Z,15.0,9.8,12.7,22,292.0
117,2014,BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8.0,A8,Z,15.0,9.8,12.7,22,292.0
118,2014,BMW,M5,MID-SIZE,4.4,8.0,AM7,Z,17.3,11.5,14.7,19,338.0
119,2014,BMW,M5,MID-SIZE,4.4,8.0,M6,Z,16.2,10.9,13.8,20,317.0
120,2014,BMW,M6,COMPACT,4.4,8.0,AM7,Z,17.3,11.5,14.7,19,338.0
121,2014,BMW,M6,COMPACT,4.4,8.0,M6,Z,16.2,10.9,13.8,20,317.0
122,2014,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8.0,AM7,Z,17.3,11.5,14.7,19,338.0
123,2014,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8.0,M6,Z,16.2,10.9,13.8,20,317.0
124,2014,BMW,M6 GRAN COUPE,COMPACT,,,AM7,Z,17.3,11.5,14.7,19,338.0
125,2014,BMW,M6 GRAN COUPE,COMPACT,4.4,8.0,M6,Z,16.2,10.9,13.8,20,317.0
126,2014,BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4.0,A8,Z,10.6,7.2,9.1,31,209.0
127,2014,BMW,X1 xDRIVE35i,SUV - SMALL,3.0,6.0,A6,Z,13.2,8.9,11.3,25,260.0
128,2014,BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4.0,A8,Z,11.2,8.5,10.0,28,230.0
129,2014,BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6.0,A8,Z,12.6,9.1,11.0,26,253.0
130,2014,BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6.0,A8,Z,12.9,8.8,11.1,25,255.0
131,2014,BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8.0,A8,Z,16.3,10.9,13.9,20,320.0
132,2014,BMW,X6 M,SUV - STANDARD,4.4,8.0,A6,Z,18.1,13.7,16.1,18,370.0
133,2014,BMW,X6 xDRIVE35i,SUV - STANDARD,3.0,6.0,A8,Z,13.6,9.8,11.9,24,274.0
134,2014,BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8.0,A8,Z,16.4,11.3,14.1,20,324.0
135,2014,BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4.0,A8,Z,10.8,7.1,9.1,31,209.0
136,2014,BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,,M6,Z,10.4,6.7,8.7,32,200.0
137,2014,BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,,AM7,Z,13.7,10.1,12.1,23,278.0
138,2014,BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6.0,M6,Z,12.7,9.0,11.0,26,
139,2014,BMW,Z4 sDRIVE35is,TWO-SEATER,3.0,6.0,AM7,Z,13.7,10.1,12.1,23,278.0
140,2014,BUICK,ENCLAVE,SUV - STANDARD,3.6,6.0,A6,X,14.3,9.9,12.3,23,283.0
141,2014,BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6.0,A6,X,14.6,10.2,12.6,22,290.0
142,2014,BUICK,ENCORE,SUV - SMALL,1.4,4.0,AS6,X,9.5,7.2,8.5,33,
143,2014,BUICK,ENCORE AWD,SUV - SMALL,1.4,4.0,AS6,X,10.2,8.0,9.2,31,212.0
144,2014,BUICK,LACROSSE,MID-SIZE,3.6,6.0,AS6,X,13.7,8.7,11.5,25,264.0
145,2014,BUICK,LACROSSE,MID-SIZE,3.6,6.0,AS6,E,18.4,12.2,15.6,18,250.0
146,2014,BUICK,LACROSSE AWD,MID-SIZE,3.6,6.0,AS6,X,13.7,8.9,11.5,25,264.0
147,2014,BUICK,LACROSSE AWD,MID-SIZE,3.6,6.0,AS6,E,19.4,13.0,16.5,17,264.0
148,2014,BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4.0,AS6,X,9.6,6.5,8.2,34,189.0
149,2014,BUICK,REGAL,MID-SIZE,2.0,4.0,AS6,Z,11.5,7.9,9.9,29,228.0
150,2014,BUICK,REGAL,MID-SIZE,2.0,4.0,M6,Z,11.6,7.5,9.8,29,225.0
151,2014,BUICK,REGAL AWD,MID-SIZE,2.0,4.0,AS6,Z,12.3,8.7,10.7,26,246.0
152,2014,BUICK,REGAL eASSIST,MID-SIZE,2.4,4.0,AS6,X,9.6,6.5,8.2,34,189.0
153,2014,BUICK,VERANO,COMPACT,2.0,4.0,AS6,Z,11.5,7.9,9.9,29,228.0
154,2014,BUICK,VERANO,COMPACT,2.0,4.0,M6,Z,11.6,7.5,9.8,29,225.0
155,2014,BUICK,VERANO,COMPACT,2.4,4.0,AS6,X,11.3,7.4,9.5,30,218.0
156,2014,CADILLAC,ATS,COMPACT,2.0,4.0,AS6,Z,11.3,7.5,9.6,29,221.0
157,2014,CADILLAC,ATS,COMPACT,2.0,4.0,M6,Z,12.1,7.9,10.2,28,235.0
158,2014,CADILLAC,ATS,COMPACT,2.5,4.0,AS6,X,10.5,7.2,9.0,31,207.0
159,2014,CADILLAC,ATS,COMPACT,3.6,6.0,AS6,X,12.8,8.5,10.9,26,251.0
160,2014,CADILLAC,ATS AWD,COMPACT,2.0,4.0,AS6,Z,11.8,8.1,10.1,28,232.0
161,2014,CADILLAC,ATS AWD,COMPACT,3.6,6.0,AS6,X,13.1,9.0,11.3,25,260.0
162,2014,CADILLAC,CTS COUPE,MID-SIZE,,6.0,AS6,X,13.2,8.7,11.2,25,258.0
163,2014,CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6.0,AS6,X,13.3,9.0,11.4,25,262.0
164,2014,CADILLAC,CTS SEDAN,MID-SIZE,2.0,4.0,AS6,Z,11.9,7.9,10.1,28,
165,2014,CADILLAC,CTS SEDAN,MID-SIZE,3.6,6.0,AS8,X,12.9,8.2,10.8,26,
166,2014,CADILLAC,CTS SEDAN AWD,MID-SIZE,2.0,4.0,AS6,Z,12.6,8.5,10.8,26,248.0
167,2014,CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,6.0,AS6,X,13.1,9.0,11.3,25,260.0
168,2014,CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6.0,AS8,Z,15.1,9.9,12.8,22,
169,2014,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.0,6.0,AS6,X,12.7,8.9,11.0,26,253.0
170,2014,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6.0,AS6,X,13.3,8.9,11.3,25,260.0
171,2014,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.0,6.0,AS6,X,12.8,9.1,11.1,25,
172,2014,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6.0,AS6,X,13.3,9.0,11.4,25,262.0
173,2014,CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8.0,AS6,Z,19.7,12.9,16.6,17,382.0
174,2014,CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8.0,M6,Z,16.7,12.5,14.8,19,340.0
175,2014,CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8.0,AS6,Z,19.7,12.9,16.6,17,382.0
176,2014,CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8.0,M6,Z,16.7,12.5,14.8,19,340.0
177,2014,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8.0,AS6,Z,19.7,12.9,16.6,17,382.0
178,2014,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8.0,M6,Z,16.7,12.5,14.8,19,340.0
179,2014,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8.0,A6,Z,17.0,11.8,14.7,19,338.0
180,2014,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8.0,A6,E,23.3,16.1,20.1,14,322.0
181,2014,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,,A6,Z,18.8,13.4,16.4,17,377.0
182,2014,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8.0,A6,E,25.7,17.8,22.1,13,354.0
183,2014,CADILLAC,SRX,SUV - STANDARD,3.6,6.0,AS6,X,14.3,9.8,12.3,23,283.0
184,2014,CADILLAC,SRX AWD,SUV - STANDARD,3.6,6.0,AS6,X,14.8,10.4,12.8,22,294.0
185,2014,CADILLAC,XTS,FULL-SIZE,3.6,6.0,AS6,X,13.6,8.6,11.4,25,262.0
186,2014,CADILLAC,XTS AWD,FULL-SIZE,3.6,6.0,AS6,X,14.0,9.1,11.8,24,271.0
187,2014,CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6.0,AS6,Z,14.8,9.8,12.6,22,290.0
188,2014,CHEVROLET,CAMARO,COMPACT,3.6,6.0,AS6,X,13.2,8.7,11.2,25,
189,2014,CHEVROLET,CAMARO,COMPACT,3.6,6.0,M6,X,14.2,8.6,11.7,24,269.0
190,2014,CHEVROLET,CAMARO 2LS,COMPACT,3.6,6.0,AS6,X,12.7,7.9,10.5,27,242.0
191,2014,CHEVROLET,CAMARO SS,COMPACT,6.2,8.0,AS6,Z,15.3,9.8,12.8,22,294.0
192,2014,CHEVROLET,CAMARO SS,COMPACT,6.2,8.0,M6,Z,15.0,9.9,12.7,22,292.0
193,2014,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8.0,AS6,Z,19.7,12.9,16.6,17,382.0
194,2014,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8.0,M6,Z,16.7,12.5,14.8,19,340.0
195,2014,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8.0,AS6,Z,14.9,8.5,12.0,24,276.0
196,2014,CHEVROLET,CORVETTE,TWO-SEATER,6.2,,M7,Z,13.7,8.2,11.2,25,
197,2014,CHEVROLET,CRUZE,MID-SIZE,1.4,4.0,AS6,X,9.1,6.3,7.8,36,179.0
198,2014,CHEVROLET,CRUZE,MID-SIZE,1.4,4.0,M6,X,9.1,6.3,7.8,36,179.0
199,2014,CHEVROLET,CRUZE,MID-SIZE,1.8,4.0,AS6,X,10.5,6.7,8.8,32,202.0
200,2014,CHEVROLET,CRUZE,MID-SIZE,1.8,4.0,M6,X,9.5,6.5,8.2,34,189.0
201,2014,CHEVROLET,CRUZE DIESEL,MID-SIZE,2.0,4.0,AS6,D,8.7,5.1,7.1,40,
202,2014,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4.0,A6,X,9.1,6.0,7.7,37,177.0
203,2014,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4.0,M6,X,8.4,5.6,7.1,40,163.0
204,2014,CHEVROLET,EQUINOX,SUV - SMALL,2.4,4.0,A6,X,10.5,7.3,9.1,31,209.0
205,2014,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6.0,A6,X,13.9,9.6,12.0,24,276.0
206,2014,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6.0,A6,E,18.8,13.1,16.2,17,259.0
207,2014,CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4.0,A6,X,11.5,8.2,10.0,28,230.0
208,2014,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6.0,A6,X,14.8,9.9,12.6,22,290.0
209,2014,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6.0,A6,E,19.8,13.6,17.0,17,272.0
210,2014,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6.0,A4,X,17.1,12.7,15.1,19,347.0
211,2014,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8.0,A4,,18.0,13.4,15.9,18,366.0
212,2014,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8.0,A4,E,23.5,17.7,20.9,14,334.0
213,2014,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8.0,A4,,18.3,14.2,16.5,17,380.0
214,2014,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8.0,A4,E,23.7,18.8,21.5,13,344.0
215,2014,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8.0,A4,X,18.6,13.9,16.5,17,380.0
216,2014,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,,8.0,A4,E,23.9,18.5,21.5,13,344.0
217,2014,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8.0,A4,X,18.3,14.2,16.5,17,380.0
218,2014,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8.0,A4,,25.3,19.3,22.6,12,362.0
219,2014,CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8.0,A4,X,18.6,13.9,16.5,17,380.0
220,2014,CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8.0,A4,E,23.9,18.5,21.5,13,344.0
221,2014,CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8.0,A4,X,18.3,14.2,16.5,17,380.0
222,2014,CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8.0,A4,E,25.3,19.3,22.6,12,362.0
223,2014,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8.0,A6,X,21.1,14.2,18.0,16,414.0
224,2014,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,X,21.9,15.0,18.8,15,432.0
225,2014,CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,E,30.0,20.4,25.7,11,411.0
